tax_year,sale_date,coin_type,sale_transaction_hash,purchase_date,purchase_transaction_hash,quantity_matched,purchase_unit_price_nis,purchase_cost_nis,sale_unit_price_nis,gross_sale_value_nis,sale_expenses_nis,net_sale_proceeds_nis,gain_loss_nis
2024,2024-03-04T15:12:11Z,ETH,0x29a0455df8ad47abbaf4d86df60f16348a74df61c9d4734ff48ed2876b5813d5,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.32038396,714.81265800,229.01,12769.93544100,4091.28,24.40,4066.88,3837.87
2024,2024-05-04T14:23:23Z,ETH,0xa1b2466affa5ffd0025817fb18ae2ed608912f3af2d903586aca1c50b4cc6d78,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.09865611,714.81265800,70.52,11632.42306100,1147.61,1.47,1146.14,1075.62
2024,2024-05-20T07:36:11Z,ETH,0x19a134d5cf6e0f7322e2da3d9b7ee03b25b1c31a1697f145b5d5f7e8e071bd8e,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.33469739,714.81265800,239.25,11455.32227500,3834.07,0.72,3833.35,3594.10
2024,2024-06-26T07:45:35Z,ETH,0xacf1118bd3ad89f178392de4c5afefedf98ea32465e43622f8e5dce3d4408264,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.15157324,714.81265800,108.35,12737.14499200,1930.61,0.53,1930.08,1821.73
2024,2024-07-29T05:50:11Z,ETH,0x2e3614a5978594ca9e21cc5dfa1edd755b59762fa13c4dd1f804cee937beebda,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.30157536,714.81265800,215.57,12505.53886000,3771.36,0.53,3770.83,3555.26
2024,2024-07-29T06:10:35Z,ETH,0x619a0b49f56b85cbc7c9230531e893b63daf8f600dfae3761b1065c0bb6cd2d3,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.29736796,714.81265800,212.56,12581.61917600,3741.37,0.53,3740.84,3528.28
2024,2024-09-05T12:52:59Z,ETH,0x2b66e4ba6a3d6e34d2403e70690d3f0f9855b5b601effa4189a29d5287c16310,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.11164444,714.81265800,79.80,8818.38368400,984.52,0.56,983.96,904.16
2024,2024-10-11T07:49:23Z,ETH,0x6063dd47d6ef836fdd822ac5e827485619c4a53513f05b5ed33ab40d6244b357,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.44273365,714.81265800,316.47,9033.75120000,3999.55,2.57,3996.98,3680.51
2024,2024-11-21T05:26:23Z,ETH,0xc93cdf33aadd862865a44e5e762ec3098cebb4fb0b2ff670e6b4d1938376d082,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.08534058,714.81265800,61.00,11666.97838400,995.67,2.88,992.79,931.79
2024,2024-12-12T09:21:11Z,ETH,0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73,2017-07-12T13:37:07Z,0x64d52dfb50c57e812548f8b8a8ea84105b9644445eb2f6b0e77b10a121b4095f,0.175118230916899,714.81265800,125.18,14006.25340500,2452.75,2.85,2449.90,2324.72
2024,2024-12-12T09:21:11Z,ETH,0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73,2017-08-20T14:42:18Z,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,0.096451849083101,1066.64064000,102.88,14006.25340500,1350.93,1.56,1349.37,1246.49
2025,2025-01-29T13:12:35Z,ETH,0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e,2017-08-20T14:42:18Z,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,0.027760470916899,1066.64064000,29.61,11185.52779500,310.52,0.06,310.46,280.85
2025,2025-01-29T13:12:35Z,ETH,0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e,2017-08-20T15:14:14Z,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,0.315619769083101,1064.35808700,335.93,11185.52779500,3530.37,0.66,3529.71,3193.78
2025,2025-05-27T08:13:59Z,ETH,0xdaafb203b5f97fa2841d30c392212f56b9df73c8d3cb99de0c484e141d1a4eb1,2017-08-20T15:14:14Z,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,0.41326467,1064.35808700,439.86,9303.13593000,3844.66,0.68,3843.98,3404.12
2025,2025-08-26T05:56:47Z,ETH,0x87c2d35a6549d00914510f02208937ce8bbec7680a45c3554489991435c031f6,2017-08-20T15:14:14Z,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,0.1225156,1064.35808700,130.40,14917.28156800,1827.60,0.38,1827.22,1696.82
2025,2025-11-12T08:42:47Z,ETH,0x76eae7aa0ca15512585b2cd6bc63491461d957ce6f03030b40b93026d57cffca,2017-08-20T15:14:14Z,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,0.15636768,1064.35808700,166.43,11095.82790000,1735.03,0.51,1734.52,1568.09
2025,2025-11-12T09:10:23Z,ETH,0x1bffe0c2c864beba175687f045c5cc153e4c4a73fbea9974b3b7d763d7b880ab,2017-08-20T15:14:14Z,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,0.15644041,1064.35808700,166.51,11142.79183000,1743.18,0.51,1742.67,1576.16
2026,2026-03-11T18:26:45Z,BTC,72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf,2017-11-16T10:55:46Z,4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a,0.00098871,26289.81360000,25.99,220098.35554500,217.61,0.74,216.87,190.88
