tax_year,sale_date,coin_type,sale_transaction_hash,quantity_sold,gross_sale_value_nis,sale_expenses_nis,net_sale_proceeds_nis,fifo_purchase_lots,fifo_cost_basis_nis,gain_loss_nis,tax_before_annual_offsets_nis,nis_value_method,source_url
2021,2021-09-06T11:46:00Z,ETH,0x591c5f461b44bb27a8ccd103ae8b9add0e6df4293d23074e0e5263720cee1654,0.05,625.71,19.71,606.00,2017-07-12: 0.017439 ETH; 2017-07-12: 0.032561 ETH,35.74,570.26,142.57,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x591c5f461b44bb27a8ccd103ae8b9add0e6df4293d23074e0e5263720cee1654
2021,2021-09-12T20:48:20Z,ETH,0x75488be98aad7206614e788e884c4d549f5aa4e2c91de852ca9c83be59cd7406,0.1,1076.52,30.29,1046.23,2017-07-12: 0.1 ETH,71.48,974.75,243.69,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x75488be98aad7206614e788e884c4d549f5aa4e2c91de852ca9c83be59cd7406
2021,2021-10-10T18:40:26Z,ETH,0x6fa3fa3e680c630244e1de85d6cf205b8a638cec252437a12dfc2faf3fc95b5d,0.1,1136.60,44.83,1091.77,2017-07-12: 0.1 ETH,71.48,1020.29,255.07,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x6fa3fa3e680c630244e1de85d6cf205b8a638cec252437a12dfc2faf3fc95b5d
2021,2021-10-10T18:56:35Z,ETH,0xe18c530e3d8f3095624e5cfeb3e9711f82ce276f529f9a42eb3a38fd97e727f4,1.096500869083101,12479.26,31.87,12447.39,2017-07-12: 1.096500869083101 ETH,783.79,11663.60,2915.90,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xe18c530e3d8f3095624e5cfeb3e9711f82ce276f529f9a42eb3a38fd97e727f4
2023,2023-03-20T21:10:47Z,ETH,0x347a006555f7cd18336414dc08d0d887a3cb6bc819d4afd89442d5fda04c6b3d,1,6480.96,6.39,6474.57,2017-07-12: 1 ETH,714.81,5759.76,1439.94,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x347a006555f7cd18336414dc08d0d887a3cb6bc819d4afd89442d5fda04c6b3d
2023,2023-08-04T17:37:23Z,ETH,0x1fbded510a3b07c9d5fed12708ce7a75b972e744e85d6cc287952c51795b4a3e,0.1,678.87,7.23,671.64,2017-07-12: 0.1 ETH,71.48,600.16,150.04,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x1fbded510a3b07c9d5fed12708ce7a75b972e744e85d6cc287952c51795b4a3e
2023,2023-08-04T18:22:23Z,ETH,0x9e567b3620d1d9f98f1c276bb77ee1d1b6d8d53eabc71a36b24b0cbc6d1440a8,1.5,10140.41,6.13,10134.28,2017-07-12: 1.5 ETH,1072.22,9062.06,2265.52,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x9e567b3620d1d9f98f1c276bb77ee1d1b6d8d53eabc71a36b24b0cbc6d1440a8
2023,2023-11-09T13:11:59Z,ETH,0x7d349dcb8664b84f42ead8217fb63fb5c7b0e3bcb26fb3c287bc89cc5240ad20,0.01994877,146.69,15.03,131.66,2017-07-12: 0.01994877 ETH,14.26,117.40,29.35,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x7d349dcb8664b84f42ead8217fb63fb5c7b0e3bcb26fb3c287bc89cc5240ad20
2023,2023-11-09T13:37:47Z,ETH,0x2b43498255de7042462c12c4757ae207ff2505a546b8afcec662a374c8947410,0.01142186,83.87,17.00,66.87,2017-07-12: 0.01142186 ETH,8.16,58.71,14.68,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x2b43498255de7042462c12c4757ae207ff2505a546b8afcec662a374c8947410
2023,2023-11-11T11:17:47Z,ETH,0x3ace50736d8a27e3f2bc50bb0d3ba6e104c48f8bd82c2a8b230cf7b7e83ace78,0.25941533,2071.06,7.25,2063.81,2017-07-12: 0.25941533 ETH,185.43,1878.38,469.60,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x3ace50736d8a27e3f2bc50bb0d3ba6e104c48f8bd82c2a8b230cf7b7e83ace78
2023,2023-11-11T11:25:35Z,ETH,0x2377934a9e447ce719a34940ee4d35450dedb5390b83e647302fbc0d1d118439,0.18196936,1456.43,8.36,1448.07,2017-07-12: 0.18196936 ETH,130.07,1318.00,329.50,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x2377934a9e447ce719a34940ee4d35450dedb5390b83e647302fbc0d1d118439
2023,2023-11-17T08:05:47Z,ETH,0x2bbb8d36ceb468202faa95dccd3a6c64b3b12943702f5942f576e86d4d3f5120,0.2703942,1987.23,8.01,1979.22,2017-07-12: 0.2703942 ETH,193.28,1785.94,446.49,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x2bbb8d36ceb468202faa95dccd3a6c64b3b12943702f5942f576e86d4d3f5120
2024,2024-02-18T17:58:23Z,ETH,0x5e8b3204c0198c3c0b5d26cb9f3fe8d54bd864878453aa4ad02de770964fb2fc,0.04169769,423.37,6.18,417.19,2017-07-12: 0.04169769 ETH,29.81,387.38,96.85,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x5e8b3204c0198c3c0b5d26cb9f3fe8d54bd864878453aa4ad02de770964fb2fc
2024,2024-03-04T15:12:11Z,ETH,0x29a0455df8ad47abbaf4d86df60f16348a74df61c9d4734ff48ed2876b5813d5,0.32038396,4091.28,24.40,4066.88,2017-07-12: 0.32038396 ETH,229.01,3837.87,959.47,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x29a0455df8ad47abbaf4d86df60f16348a74df61c9d4734ff48ed2876b5813d5
2024,2024-05-04T14:23:23Z,ETH,0xa1b2466affa5ffd0025817fb18ae2ed608912f3af2d903586aca1c50b4cc6d78,0.09865611,1147.61,1.47,1146.14,2017-07-12: 0.09865611 ETH,70.52,1075.62,268.91,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xa1b2466affa5ffd0025817fb18ae2ed608912f3af2d903586aca1c50b4cc6d78
2024,2024-05-20T07:36:11Z,ETH,0x19a134d5cf6e0f7322e2da3d9b7ee03b25b1c31a1697f145b5d5f7e8e071bd8e,0.33469739,3834.07,0.72,3833.35,2017-07-12: 0.33469739 ETH,239.25,3594.10,898.53,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x19a134d5cf6e0f7322e2da3d9b7ee03b25b1c31a1697f145b5d5f7e8e071bd8e
2024,2024-06-26T07:45:35Z,ETH,0xacf1118bd3ad89f178392de4c5afefedf98ea32465e43622f8e5dce3d4408264,0.15157324,1930.61,0.53,1930.08,2017-07-12: 0.15157324 ETH,108.35,1821.73,455.43,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xacf1118bd3ad89f178392de4c5afefedf98ea32465e43622f8e5dce3d4408264
2024,2024-07-29T05:50:11Z,ETH,0x2e3614a5978594ca9e21cc5dfa1edd755b59762fa13c4dd1f804cee937beebda,0.30157536,3771.36,0.53,3770.83,2017-07-12: 0.30157536 ETH,215.57,3555.26,888.82,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x2e3614a5978594ca9e21cc5dfa1edd755b59762fa13c4dd1f804cee937beebda
2024,2024-07-29T06:10:35Z,ETH,0x619a0b49f56b85cbc7c9230531e893b63daf8f600dfae3761b1065c0bb6cd2d3,0.29736796,3741.37,0.53,3740.84,2017-07-12: 0.29736796 ETH,212.56,3528.28,882.07,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x619a0b49f56b85cbc7c9230531e893b63daf8f600dfae3761b1065c0bb6cd2d3
2024,2024-09-05T12:52:59Z,ETH,0x2b66e4ba6a3d6e34d2403e70690d3f0f9855b5b601effa4189a29d5287c16310,0.11164444,984.52,0.56,983.96,2017-07-12: 0.11164444 ETH,79.80,904.16,226.04,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x2b66e4ba6a3d6e34d2403e70690d3f0f9855b5b601effa4189a29d5287c16310
2024,2024-10-11T07:49:23Z,ETH,0x6063dd47d6ef836fdd822ac5e827485619c4a53513f05b5ed33ab40d6244b357,0.44273365,3999.55,2.57,3996.98,2017-07-12: 0.44273365 ETH,316.47,3680.51,920.13,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x6063dd47d6ef836fdd822ac5e827485619c4a53513f05b5ed33ab40d6244b357
2024,2024-11-21T05:26:23Z,ETH,0xc93cdf33aadd862865a44e5e762ec3098cebb4fb0b2ff670e6b4d1938376d082,0.08534058,995.67,2.88,992.79,2017-07-12: 0.08534058 ETH,61.00,931.79,232.95,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xc93cdf33aadd862865a44e5e762ec3098cebb4fb0b2ff670e6b4d1938376d082
2024,2024-12-12T09:21:11Z,ETH,0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73,0.27157008,3803.68,4.41,3799.27,2017-07-12: 0.175118230916899 ETH; 2017-08-20: 0.096451849083101 ETH,228.06,3571.21,892.80,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73
2025,2025-01-29T13:12:35Z,ETH,0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e,0.34338024,3840.89,0.72,3840.17,2017-08-20: 0.027760470916899 ETH; 2017-08-20: 0.315619769083101 ETH,365.54,3474.63,868.66,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e
2025,2025-05-27T08:13:59Z,ETH,0xdaafb203b5f97fa2841d30c392212f56b9df73c8d3cb99de0c484e141d1a4eb1,0.41326467,3844.66,0.68,3843.98,2017-08-20: 0.41326467 ETH,439.86,3404.12,851.03,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0xdaafb203b5f97fa2841d30c392212f56b9df73c8d3cb99de0c484e141d1a4eb1
2025,2025-08-26T05:56:47Z,ETH,0x87c2d35a6549d00914510f02208937ce8bbec7680a45c3554489991435c031f6,0.1225156,1827.60,0.38,1827.22,2017-08-20: 0.1225156 ETH,130.40,1696.82,424.21,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x87c2d35a6549d00914510f02208937ce8bbec7680a45c3554489991435c031f6
2025,2025-11-12T08:42:47Z,ETH,0x76eae7aa0ca15512585b2cd6bc63491461d957ce6f03030b40b93026d57cffca,0.15636768,1735.03,0.51,1734.52,2017-08-20: 0.15636768 ETH,166.43,1568.09,392.02,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x76eae7aa0ca15512585b2cd6bc63491461d957ce6f03030b40b93026d57cffca
2025,2025-11-12T09:10:23Z,ETH,0x1bffe0c2c864beba175687f045c5cc153e4c4a73fbea9974b3b7d763d7b880ab,0.15644041,1743.18,0.51,1742.67,2017-08-20: 0.15644041 ETH,166.51,1576.16,394.04,market estimate: Coinbase USD x Frankfurter USD/ILS,https://eth.blockscout.com/tx/0x1bffe0c2c864beba175687f045c5cc153e4c4a73fbea9974b3b7d763d7b880ab
2026,2026-03-11T18:26:45Z,BTC,72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf,0.00098871,217.61,0.74,216.87,2017-11-16: 0.00098871 BTC,25.99,190.88,47.72,market estimate: Coinbase USD x Frankfurter USD/ILS,https://mempool.space/tx/72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf
