date,type,coin_type,transaction_hash,gross_value_nis,sale_expenses_nis,evidence_or_notes
2017-12-14T10:55:16Z,buying,ETH,0x34ce16ad384effc4eac991db5f0b93dd29086d3474f3e255e38ab2ad6677fe91,,,
2017-12-14T10:55:27Z,buying,BTC,9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda,,,
2017-12-16T06:22:02Z,selling,ETH,0x66f42b92c0a27aa03476ea1143f0ba759488cdebfc675cfdd79c823b5700fd51,,,
2017-12-31T22:12:26Z,selling,ETH,0x41c8aa4c76387cf54ba7cfc27a93cc78e60cb8d8056a8e33bc96374e1f776d68,,,
2017-12-31T22:15:54Z,selling,ETH,0xf81ed127058fbba2166634e9fd8fdc8dd1a1953db17f03cc311eab9643e79da3,,,
2020-08-21T11:33:10Z,selling,ETH,0xa4e8dfa8ad633657e69ee59283bb970e5b00466635e50289ef95c3dcef56622a,,,
2020-09-12T22:39:33Z,selling,ETH,0x39399c41add204f62b4e4aa08f02c6331644e2d27f2c9e96ac3606276295a433,,,
2020-10-02T06:36:19Z,buying,ETH,0x275bb4a4357177004a5731c68a25661010f901df5b32655f3b0f1ed2057213b2,,,
2020-10-02T06:38:13Z,buying,ETH,0xf8adef4492d79564c5d1680f84aefdd346524e9e87adc1276d6e88f8fbe3c83b,,,
2020-11-22T06:20:02Z,selling,ETH,0x0dcafac6ad7c93f9242d539f157197ba453c35f69f207ae43473cfb853128b57,,,
2020-11-22T06:28:19Z,selling,ETH,0xea4d7ffa23dba062a601b8dd3f4968db2e5e62d3d6d76f6c5cded9c53b91506f,,,
2021-02-13T06:25:49Z,selling,ETH,0x82accb08520746f4b34bf2d31a7b9cade000dc66cfbb0a93e153d4cf065871e0,,,
2021-06-13T02:12:29Z,buying,ETH,0xa8d30f048ccf6a72265559cdfe051d08da107a8d84d57c0719bb83ddb31bb78e,,,
2021-09-06T11:46:00Z,selling,ETH,0x591c5f461b44bb27a8ccd103ae8b9add0e6df4293d23074e0e5263720cee1654,,,
2021-09-12T20:48:20Z,selling,ETH,0x75488be98aad7206614e788e884c4d549f5aa4e2c91de852ca9c83be59cd7406,,,
2021-10-10T18:25:05Z,buying,ETH,0x20b9dcd7fec5d44c856b2888de40a7749db42c17639406ced91304d81cbce6e4,,,
2021-10-10T18:40:26Z,selling,ETH,0x6fa3fa3e680c630244e1de85d6cf205b8a638cec252437a12dfc2faf3fc95b5d,,,
2021-10-10T18:56:35Z,selling,ETH,0xe18c530e3d8f3095624e5cfeb3e9711f82ce276f529f9a42eb3a38fd97e727f4,,,
2023-03-20T21:10:47Z,selling,ETH,0x347a006555f7cd18336414dc08d0d887a3cb6bc819d4afd89442d5fda04c6b3d,,,
2023-08-04T17:37:23Z,selling,ETH,0x1fbded510a3b07c9d5fed12708ce7a75b972e744e85d6cc287952c51795b4a3e,,,
2023-08-04T18:22:23Z,selling,ETH,0x9e567b3620d1d9f98f1c276bb77ee1d1b6d8d53eabc71a36b24b0cbc6d1440a8,,,
2023-09-08T14:01:59Z,buying,ETH,0x2005fee9291ed789814aa4f44a56d5fcff5115a710f81e3dac70fffdce9e23a9,,,
2023-11-09T13:11:59Z,selling,ETH,0x7d349dcb8664b84f42ead8217fb63fb5c7b0e3bcb26fb3c287bc89cc5240ad20,,,
2023-11-09T13:37:47Z,selling,ETH,0x2b43498255de7042462c12c4757ae207ff2505a546b8afcec662a374c8947410,,,
2023-11-11T11:17:47Z,selling,ETH,0x3ace50736d8a27e3f2bc50bb0d3ba6e104c48f8bd82c2a8b230cf7b7e83ace78,,,
2023-11-11T11:25:35Z,selling,ETH,0x2377934a9e447ce719a34940ee4d35450dedb5390b83e647302fbc0d1d118439,,,
2023-11-16T18:54:11Z,buying,ETH,0xbd27bd1a59da70f7cb7b01798776a76e7979590106ec75a71118452d9bf8c54e,,,
2023-11-17T08:05:47Z,selling,ETH,0x2bbb8d36ceb468202faa95dccd3a6c64b3b12943702f5942f576e86d4d3f5120,,,
2023-11-20T19:08:59Z,buying,ETH,0x49bcd993076ab3b64bfcbcc2a5f2322a6708a23728ca7a91d230fc996d3652a6,,,
2024-02-18T17:58:23Z,selling,ETH,0x5e8b3204c0198c3c0b5d26cb9f3fe8d54bd864878453aa4ad02de770964fb2fc,,,
2024-03-04T15:12:11Z,selling,ETH,0x29a0455df8ad47abbaf4d86df60f16348a74df61c9d4734ff48ed2876b5813d5,,,
2024-05-04T14:23:23Z,selling,ETH,0xa1b2466affa5ffd0025817fb18ae2ed608912f3af2d903586aca1c50b4cc6d78,,,
2024-05-20T07:36:11Z,selling,ETH,0x19a134d5cf6e0f7322e2da3d9b7ee03b25b1c31a1697f145b5d5f7e8e071bd8e,,,
2024-05-20T07:39:47Z,buying,ETH,0xebf15109ed40afb243dc82153f788d6f580423e086428081d684e9758d7cbc4f,,,
2024-06-26T07:45:35Z,selling,ETH,0xacf1118bd3ad89f178392de4c5afefedf98ea32465e43622f8e5dce3d4408264,,,
2024-06-26T08:18:59Z,buying,ETH,0xe545adff05dd6a170a217ff9757052621009580191a1442f495a8692bafbc1b0,,,
2024-06-26T10:06:59Z,buying,ETH,0x212431f82e7bb2b96bc335174aa3ed4c786389a7089939338171d1a8a41ec226,,,
2024-06-26T10:53:23Z,buying,ETH,0xac0726dc54a29907cf908b454af95d6523994928159e397f186e379a597f6902,,,
2024-06-26T11:45:35Z,buying,ETH,0x57dac91ad243d624cd8bf3248a92a5e6ae084cd377ed91bc2a82298c44321fee,,,
2024-06-26T12:39:59Z,buying,ETH,0xc85bba2b9ca7cb1867615c8264ed13cd7df72cae9358e5f85c5c77bad23860b3,,,
2024-06-26T13:39:47Z,buying,ETH,0xc21fdc2c4faf3280deeb87bb78c4084090cb1f367e18438fcc7052f61844259b,,,
2024-07-29T05:50:11Z,selling,ETH,0x2e3614a5978594ca9e21cc5dfa1edd755b59762fa13c4dd1f804cee937beebda,,,
2024-07-29T05:57:35Z,buying,ETH,0x3c05abce94f706583c05df3e6e1dc38f01e6a643c34f290642ab4ed0ede8bac1,,,
2024-07-29T06:10:35Z,selling,ETH,0x619a0b49f56b85cbc7c9230531e893b63daf8f600dfae3761b1065c0bb6cd2d3,,,
2024-07-29T06:13:59Z,buying,ETH,0x913ca68d52dd21c025434bc202fa6b0bf091f51bdbd8d2df5a7ca5fb5f528910,,,
2024-09-05T12:52:59Z,selling,ETH,0x2b66e4ba6a3d6e34d2403e70690d3f0f9855b5b601effa4189a29d5287c16310,,,
2024-10-11T07:49:23Z,selling,ETH,0x6063dd47d6ef836fdd822ac5e827485619c4a53513f05b5ed33ab40d6244b357,,,
2024-11-21T05:26:23Z,selling,ETH,0xc93cdf33aadd862865a44e5e762ec3098cebb4fb0b2ff670e6b4d1938376d082,,,
2024-12-12T09:21:11Z,selling,ETH,0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73,,,
2025-01-29T13:12:35Z,selling,ETH,0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e,,,
2025-05-27T08:13:59Z,selling,ETH,0xdaafb203b5f97fa2841d30c392212f56b9df73c8d3cb99de0c484e141d1a4eb1,,,
2025-07-26T09:33:47Z,buying,ETH,0x94ff8355587b19a40729a35e3854c85d4d2cdbf73edb2c2dff849e4da7bcd10b,,,
2025-08-26T05:56:47Z,selling,ETH,0x87c2d35a6549d00914510f02208937ce8bbec7680a45c3554489991435c031f6,,,
2025-11-12T08:42:47Z,selling,ETH,0x76eae7aa0ca15512585b2cd6bc63491461d957ce6f03030b40b93026d57cffca,,,
2025-11-12T09:10:23Z,selling,ETH,0x1bffe0c2c864beba175687f045c5cc153e4c4a73fbea9974b3b7d763d7b880ab,,,
2026-03-11T18:26:45Z,selling,BTC,72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf,,,
