date,amount,transaction_hash
2018-07-19,27 GSE,0xbdac73b25f899faf8bf80393b508fc2885805a89fc4c744a8e1fcde5ff3cb46a
2018-09-08,2.18579078105255784 LPT,0xcf478bbf3a9533b5c573c7bc5b4fa7412306bf3736fef19ba6623ac3fcab2ad5
2018-10-12,5 PMOD,0xd8b276ade6b93d5067d0accc9a48f37d1e8103d65165f409697c2b309447d31e
2019-03-29,0.7907 ETH,0x21245ca702da089f803c4588564cb206e76a8223f668332bfa688d4a03a68169
2019-05-07,5 LRC,0x6b9cd423fadbd9ad01e4b25f6ae1799d5737b7e73e27cbacf176bc66ac594c69
2019-10-02,28.6397891868 EBK,0xfcfd9e45ca92459ce0dfca1260f78fea0bdd15f889324fb0613e7cda8a6fe4d5
2020-01-10,10 ETHBNT,0xdb416ef5a532f25f9dc0414d7167e49cd93f8fc776822d7e05aba132f1a80ba1
2021-06-13,0.099874 ETH,0xa8d30f048ccf6a72265559cdfe051d08da107a8d84d57c0719bb83ddb31bb78e
2023-09-08,0.5 ETH,0x2005fee9291ed789814aa4f44a56d5fcff5115a710f81e3dac70fffdce9e23a9
2023-11-16,0.01994877 ETH,0xbd27bd1a59da70f7cb7b01798776a76e7979590106ec75a71118452d9bf8c54e
2023-11-20,1.0807387 ETH,0x49bcd993076ab3b64bfcbcc2a5f2322a6708a23728ca7a91d230fc996d3652a6
2024-05-20,0.000000001 ETH,0xebf15109ed40afb243dc82153f788d6f580423e086428081d684e9758d7cbc4f
2024-06-26,0.000015157 ETH,0xe545adff05dd6a170a217ff9757052621009580191a1442f495a8692bafbc1b0
2024-06-26,0 ETH,0xe9e2c48d0b29cc7a9025e42884f4125de7e92f39df8b7d89a73cf81b53dc3e96
2024-06-26,0.000015157 ETH,0x212431f82e7bb2b96bc335174aa3ed4c786389a7089939338171d1a8a41ec226
2024-06-26,0 ETH,0xf4e323ceda1244d522bed2e4bc86ecbbccfd30d7e9d7d95eb54fa2df2d03aaa5
2024-06-26,0.000015157 ETH,0xac0726dc54a29907cf908b454af95d6523994928159e397f186e379a597f6902
2024-06-26,0 ETH,0x36788021ce296a49ee6bcd0c0be884615c407d97129918b6d425084e957a8beb
2024-06-26,0.000015157 ETH,0x57dac91ad243d624cd8bf3248a92a5e6ae084cd377ed91bc2a82298c44321fee
2024-06-26,0 ETH,0x4336710a810e695385d1c8a9500ec934db1ebc76badb1d75f56faf0dfb37fa42
2024-06-26,0.000015157 ETH,0xc85bba2b9ca7cb1867615c8264ed13cd7df72cae9358e5f85c5c77bad23860b3
2024-06-26,0 ETH,0xfe61afa17db943207995ef7a5d2e115be0b522633ce9ffa486fa71de41924db8
2024-06-26,0.000015157 ETH,0xc21fdc2c4faf3280deeb87bb78c4084090cb1f367e18438fcc7052f61844259b
2024-07-29,0.000030157 ETH,0x3c05abce94f706583c05df3e6e1dc38f01e6a643c34f290642ab4ed0ede8bac1
2024-07-29,0.000029736 ETH,0x913ca68d52dd21c025434bc202fa6b0bf091f51bdbd8d2df5a7ca5fb5f528910
2025-07-26,0.01941936 ETH,0x94ff8355587b19a40729a35e3854c85d4d2cdbf73edb2c2dff849e4da7bcd10b
2025-08-20,102.852453 PCHS,0xa0bd98669911318db0549c09fa0fbea320a3ae47e6c23bb432b41e5a369b428e
2025-08-30,0.0000001 WETH,0x37af92ef11ca76e954ca1c53757f3ecc556ae594deb0f89b654f8670f5bdcc44
2026-02-25,0.001 YF-DAI,0xd5763e249ef3dd389a21f8fc8e45bb15119fc747d211282cb6c0765af6548f7a
2026-03-29,1 HEX,0x5b504eaca40f04b7acedb5b0e01dce66fbe6c4fd4cb6ba93a7fa8bc5383f4c97
