"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1863.15/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x27b09f69724c9f10ea34be59605a15aeec1d5ac9eb54308b7bb0d4cbb35338ff","4630136","1511763895","2017-11-27 06:24:55","0xb3ebe04e4a61cdfc5dbe7fa98f96a7ff22e51817","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.004916","0","9.1592454","0.000042","0.0782523","475.24","","","Transfer"
"0x504ffaab556da7f388927874aada82f7dda24b042494b7877777d32cf1c557ef","4630145","1511764029","2017-11-27 06:27:09","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xb3ebe04e4a61cdfc5dbe7fa98f96a7ff22e51817","","0","2.5","4657.875","0.000042","0.0782523","475.24","","","Transfer"
"0x41c8aa4c76387cf54ba7cfc27a93cc78e60cb8d8056a8e33bc96374e1f776d68","4832276","1514758346","2017-12-31 22:12:26","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x22e4a2798e810c31589c7398b7877e53f9807b24","","0","0.001324","2.4668106","0.000315","0.58689225","741.13","","","Transfer"
"0xf81ed127058fbba2166634e9fd8fdc8dd1a1953db17f03cc311eab9643e79da3","4832286","1514758554","2017-12-31 22:15:54","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x22e4a2798e810c31589c7398b7877e53f9807b24","","0","0.0047","8.756805","0.0004305","0.802086075","741.13","","","Transfer"
"0x21245ca702da089f803c4588564cb206e76a8223f668332bfa688d4a03a68169","7464060","1553871699","2019-03-29 15:01:39","0x31aeab4ff2d0bb779f4a274b75d598d7c426e974","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.7907","0","1473.192705","0.00021","0.3912615","144.41","","","Transfer"
"0x39399c41add204f62b4e4aa08f02c6331644e2d27f2c9e96ac3606276295a433","10849879","1599950373","2020-09-12 22:39:33","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xcc45dde42826e702be81b461baae5cd2e756c8ec","","0","2","3726.3","0.002961000045948","5.51678723560802","387.88","","","Transfer"
"0xa8d30f048ccf6a72265559cdfe051d08da107a8d84d57c0719bb83ddb31bb78e","12623404","1623550349","2021-06-13 02:12:29","0x95cb5e42a346e732e52fcdc2d398bc946c4879d8","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.099874","0","186.0802431","0.000126","0.2347569","2509.70","","","Transfer"
"0x347a006555f7cd18336414dc08d0d887a3cb6bc819d4afd89442d5fda04c6b3d","16871473","1679346647","2023-03-20 21:10:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x820cb299071bbe96d7cedbc26058c8c1275f92f5","","0","1","1863.15","0.000985975","1.83701932125","1738.45","","","Transfer"
"0x1fbded510a3b07c9d5fed12708ce7a75b972e744e85d6cc287952c51795b4a3e","17843151","1691170643","2023-08-04 17:37:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x820cb299071bbe96d7cedbc26058c8c1275f92f5","","0","0.1","186.315","0.001064853","1.98398086695","1827.52","","","Transfer"
"0x9e567b3620d1d9f98f1c276bb77ee1d1b6d8d53eabc71a36b24b0cbc6d1440a8","17843373","1691173343","2023-08-04 18:22:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x820cb299071bbe96d7cedbc26058c8c1275f92f5","","0","1.5","2794.725","0.000907097","1.69005777555","1827.52","","","Transfer"
"0x7d349dcb8664b84f42ead8217fb63fb5c7b0e3bcb26fb3c287bc89cc5240ad20","18534606","1699535519","2023-11-09 13:11:59","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x791762cdc39972bff77b7c7b40a2c36c13986f0b","","0","0.01994877","37.1675508255","0.002043405","3.80717002575","2121.13","","","Transfer"
"0x2b43498255de7042462c12c4757ae207ff2505a546b8afcec662a374c8947410","18534735","1699537067","2023-11-09 13:37:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x0f930c5d8addf684e5fd761d010142f1bbb5f8f6","","0","0.01142186","21.280638459","0.002315859","4.31479269585","2121.13","","","Transfer"
"0x3ace50736d8a27e3f2bc50bb0d3ba6e104c48f8bd82c2a8b230cf7b7e83ace78","18548339","1699701467","2023-11-11 11:17:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xc12acaa4607e0bf1328a48fb72dd328c584b7b96","","0","0.25941533","483.3296720895","0.00090818","1.692075567","2053.53","","","Transfer"
"0x2377934a9e447ce719a34940ee4d35450dedb5390b83e647302fbc0d1d118439","18548377","1699701935","2023-11-11 11:25:35","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xc78a0fbcad7a7b7e1f01e618c8fc256051498141","","0","0.18196936","339.036213084","0.001044407","1.94588690205","2053.53","","","Transfer"
"0xbd27bd1a59da70f7cb7b01798776a76e7979590106ec75a71118452d9bf8c54e","18586369","1700160851","2023-11-16 18:54:11","0x29adf8ec63bbc0b680cb22b794f61a6bce2f74fb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.01994877","0","37.1675508255","0.001155","2.15193825","1961.54","","","Transfer"
"0x2bbb8d36ceb468202faa95dccd3a6c64b3b12943702f5942f576e86d4d3f5120","18590297","1700208347","2023-11-17 08:05:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x22b7e58614f8354c55cd803b6a2a54b950a3ba96","","0","0.2703942","503.78495373","0.001089816","2.0304906804","1961.61","","","Transfer"
"0x5e8b3204c0198c3c0b5d26cb9f3fe8d54bd864878453aa4ad02de770964fb2fc","19256312","1708279103","2024-02-18 17:58:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xe19fddbea681d39e6496903332382a7e31ea2742","","0","0.04169769","77.6890511235","0.000609","1.13465835","2881.40","","","Transfer"
"0x29a0455df8ad47abbaf4d86df60f16348a74df61c9d4734ff48ed2876b5813d5","19362611","1709565131","2024-03-04 15:12:11","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xe5ee22c6264b9725db8a44c5da3c7d1c46a684dd","","0","0.32038396","596.923375074","0.001911","3.56047965","3631.85","","","Transfer"
"0xa1b2466affa5ffd0025817fb18ae2ed608912f3af2d903586aca1c50b4cc6d78","19797316","1714832603","2024-05-04 14:23:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xb07a07b7b4690732407cbfb26956a466572f9592","","0","0.09865611","183.8111313465","0.000126","0.2347569","3117.52","","","Transfer"
"0x19a134d5cf6e0f7322e2da3d9b7ee03b25b1c31a1697f145b5d5f7e8e071bd8e","19909687","1716190571","2024-05-20 07:36:11","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x065dd94fb7a15e7c9821ad0af8d7eb76491a0924","","0","0.33469739","623.5914421785","0.000063","0.11737845","3661.58","","","Transfer"
"0xebf15109ed40afb243dc82153f788d6f580423e086428081d684e9758d7cbc4f","19909705","1716190787","2024-05-20 07:39:47","0x065d5fb523cf5dcea1a3dd6740c0b33ce5a00924","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000000001","0","0.00000186315","0.00008918289534","0.166161111452721","3661.58","","","Transfer"
"0xacf1118bd3ad89f178392de4c5afefedf98ea32465e43622f8e5dce3d4408264","20174455","1719387935","2024-06-26 07:45:35","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x57cf4bb38688e706bbc7bb3a3109a2e3f3c27ccb","","0","0.15157324","282.403682106","0.000042","0.0782523","3369.46","","","Transfer"
"0xe545adff05dd6a170a217ff9757052621009580191a1442f495a8692bafbc1b0","20174621","1719389939","2024-06-26 08:18:59","0x57c39d3021f6c5c78dc46dec91cb9cdec8c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000015157","0","0.02823976455","0.000053644879113","0.099948456519386","3369.46","","","Transfer"
"0xe9e2c48d0b29cc7a9025e42884f4125de7e92f39df8b7d89a73cf81b53dc3e96","20174946","1719393863","2024-06-26 09:24:23","0x57cf1972091a19643d105ef3bf4b8203d5c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0","0","0","0.000077760238899","0.144878989104672","3369.46","","","Transfer"
"0x212431f82e7bb2b96bc335174aa3ed4c786389a7089939338171d1a8a41ec226","20175159","1719396419","2024-06-26 10:06:59","0x57c39d3021f6c5c78dc46dec91cb9cdec8c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000015157","0","0.02823976455","0.000074094784995","0.138049698663434","3369.46","","","Transfer"
"0xf4e323ceda1244d522bed2e4bc86ecbbccfd30d7e9d7d95eb54fa2df2d03aaa5","20175163","1719396467","2024-06-26 10:07:47","0x57cf1972091a19643d105ef3bf4b8203d5c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0","0","0","0.000078032293773","0.145385868143165","3369.46","","","Transfer"
"0xac0726dc54a29907cf908b454af95d6523994928159e397f186e379a597f6902","20175390","1719399203","2024-06-26 10:53:23","0x57c39d3021f6c5c78dc46dec91cb9cdec8c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000015157","0","0.02823976455","0.000063410196822","0.118142708208909","3369.46","","","Transfer"
"0x36788021ce296a49ee6bcd0c0be884615c407d97129918b6d425084e957a8beb","20175393","1719399239","2024-06-26 10:53:59","0x57cf1972091a19643d105ef3bf4b8203d5c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0","0","0","0.000054727657068","0.101965834266244","3369.46","","","Transfer"
"0x57dac91ad243d624cd8bf3248a92a5e6ae084cd377ed91bc2a82298c44321fee","20175651","1719402335","2024-06-26 11:45:35","0x57c39d3021f6c5c78dc46dec91cb9cdec8c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000015157","0","0.02823976455","0.000051497216673","0.0959470392443","3369.46","","","Transfer"
"0x4336710a810e695385d1c8a9500ec934db1ebc76badb1d75f56faf0dfb37fa42","20175655","1719402383","2024-06-26 11:46:23","0x57cf1972091a19643d105ef3bf4b8203d5c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0","0","0","0.000054467546196","0.101481208695077","3369.46","","","Transfer"
"0xc85bba2b9ca7cb1867615c8264ed13cd7df72cae9358e5f85c5c77bad23860b3","20175922","1719405599","2024-06-26 12:39:59","0x57c39d3021f6c5c78dc46dec91cb9cdec8c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000015157","0","0.02823976455","0.000086498457255","0.161159600634653","3369.46","","","Transfer"
"0xfe61afa17db943207995ef7a5d2e115be0b522633ce9ffa486fa71de41924db8","20175925","1719405635","2024-06-26 12:40:35","0x57cf1972091a19643d105ef3bf4b8203d5c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0","0","0","0.000083448273972","0.155476651650932","3369.46","","","Transfer"
"0xc21fdc2c4faf3280deeb87bb78c4084090cb1f367e18438fcc7052f61844259b","20176220","1719409187","2024-06-26 13:39:47","0x57c39d3021f6c5c78dc46dec91cb9cdec8c27ccb","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000015157","0","0.02823976455","0.000139126331442","0.259213224426162","3369.46","","","Transfer"
"0x2e3614a5978594ca9e21cc5dfa1edd755b59762fa13c4dd1f804cee937beebda","20410234","1722232211","2024-07-29 05:50:11","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x2b0c25a15a2117cef25fd57ff040f755503a7f6f","","0","0.30157536","561.880131984","0.000042","0.0782523","3317.94","","","Transfer"
"0x3c05abce94f706583c05df3e6e1dc38f01e6a643c34f290642ab4ed0ede8bac1","20410270","1722232655","2024-07-29 05:57:35","0x2b0c60e670b63174c394c603fce392abf8c77f6f","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000030157","0","0.05618701455","0.00002857611582","0.053241590190033","3317.94","","","Transfer"
"0x619a0b49f56b85cbc7c9230531e893b63daf8f600dfae3761b1065c0bb6cd2d3","20410335","1722233435","2024-07-29 06:10:35","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xae01efc81074cc793ce072422deec3e6843d27d6","","0","0.29736796","554.041114674","0.000042","0.0782523","3317.94","","","Transfer"
"0x913ca68d52dd21c025434bc202fa6b0bf091f51bdbd8d2df5a7ca5fb5f528910","20410352","1722233639","2024-07-29 06:13:59","0xae01cf1fff9ca310099f46da22c32b57a0b727d6","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.000029736","0","0.0554026284","0.000027266185107","0.050800992782107","3317.94","","","Transfer"
"0xbd9d4555bee234284fd07a78cd67d6ab9ebb4934a6c8f85b001afbf403f50a28","20410491","1722235307","2024-07-29 06:41:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xd523794c879d9ec028960a231f866758e405be34","","0","20","37263","0.000623056188419814","1.16084713745438","3317.94","","","Stake"
"0x2b66e4ba6a3d6e34d2403e70690d3f0f9855b5b601effa4189a29d5287c16310","20684508","1725540779","2024-09-05 12:52:59","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x3d3608a12984de35afb9476c0eefd21c741c7c30","","0","0.11164444","208.010338386","0.00006325442025","0.117852473088788","2367.89","","","Transfer"
"0x6063dd47d6ef836fdd822ac5e827485619c4a53513f05b5ed33ab40d6244b357","20940994","1728632963","2024-10-11 07:49:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x941a6f2610b8317faaa498ba1d286f3706d3b9da","","0","0.44273365","824.8791999975","0.000284759685231","0.530550007538138","2439.03","","","Transfer"
"0xc93cdf33aadd862865a44e5e762ec3098cebb4fb0b2ff670e6b4d1938376d082","21234009","1732166783","2024-11-21 05:26:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xa9eb0a8ac075e208ccd6d1ee7bdabc56f268fba7","","0","0.08534058","159.002301627","0.000246950110155","0.460105097735288","3359.82","","","Transfer"
"0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73","21385495","1733995271","2024-12-12 09:21:11","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x64d624080e852849159faa2f2010e576e44c72c1","","0","0.27157008","505.975794552","0.000315123518199","0.587122382932467","3882.65","","","Transfer"
"0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e","21730406","1738156355","2025-01-29 13:12:35","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x21861f96aadb13c352f12404ffdf372ac33dd34a","","0","0.34338024","639.768894156","0.000064119191178","0.119463671043291","3114.10","","","Transfer"
"0xdaafb203b5f97fa2841d30c392212f56b9df73c8d3cb99de0c484e141d1a4eb1","22572861","1748333639","2025-05-27 08:13:59","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x36ae558390102c697dd73893fcccc5da5abc183b","","0","0.41326467","769.9740699105","0.000073159638342","0.136307380176897","2662.00","","","Transfer"
"0xca4afbef4f218f82e04e3a1b5835ffff8289bbc14bc3779a3b8cdd52995f6eb6","23002445","1753522331","2025-07-26 09:32:11","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c","","0","0","0","0.00011231443899744","0.20925864701808","3742.79","","","Transfer"
"0x94ff8355587b19a40729a35e3854c85d4d2cdbf73edb2c2dff849e4da7bcd10b","23002453","1753522427","2025-07-26 09:33:47","0xeba88149813bec1cccccfdb0dacefaaa5de94cb1","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","","0.01941936","0","36.181180584","0.000021","0.03912615","3742.79","","","Transfer"
"0x0f3e7cd9bf4ff2bc63f57ec16d3285e43174f8e7d7d111133e05a0938a25b4b7","23002543","1753523531","2025-07-26 09:52:11","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x58b6a8a3302369daec383334672404ee733ab239","","0","0","0","0.000012106251338987","0.0225557621822336","3742.79","","","Approve"
"0x87c2d35a6549d00914510f02208937ce8bbec7680a45c3554489991435c031f6","23223338","1756187807","2025-08-26 05:56:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xeffdc5bfccdbab2de8ae47819febee23ce87e6af","","0","0.1225156","228.26494014","0.00002544522057","0.0474082627049955","4601.95","","","Transfer"
"0x76eae7aa0ca15512585b2cd6bc63491461d957ce6f03030b40b93026d57cffca","23782026","1762936967","2025-11-12 08:42:47","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0xa151f3bbdcde4752d07ea41f7c54f585ed48c225","","0","0.15636768","291.336442992","0.000045911212326","0.0855394752451869","3414.45","","","Transfer"
"0x1bffe0c2c864beba175687f045c5cc153e4c4a73fbea9974b3b7d763d7b880ab","23782163","1762938623","2025-11-12 09:10:23","0x677878f16c6c7d6fa72510f7fbe355d1eae276d0","0x1bdad05a4b161d93186b90a9152e3b511f5ad52b","","0","0.15644041","291.4719498915","0.000045540169857","0.0848481674690695","3414.45","","","Transfer"
