תאריך עסקה,שנת מס,סוג עסקה,אירוע חייב במס,ETH שהתקבל,ETH שנשלח,מחיר ETH בדולר,תמורה ממכירה בדולר,עלות מקור בדולר,רווח או הפסד הון בדולר,הכנסה מסטייקינג בדולר,מס משוער בדולר,עמלת עסקה ב־ETH,עמלת עסקה בדולר,יתרת ETH לאחר העסקה,מזהה עסקה בבלוקצ׳יין,הערות
2021-06-13 02:12:29,2021,קבלת ETH,לא,0.099874,0,2509.70,,,,,,0,0,26.736702186754052,0xa8d30f048ccf6a72265559cdfe051d08da107a8d84d57c0719bb83ddb31bb78e,
2023-03-20 21:10:47,2023,מכירת ETH / מימוש,כן,0,1,1738.45,1738.45,330.32000000,1408.13000000,,352.0325000000,0.000985975,1.83701932125,25.735716211754052,0x347a006555f7cd18336414dc08d0d887a3cb6bc819d4afd89442d5fda04c6b3d,
2023-08-04 17:37:23,2023,מכירת ETH / מימוש,כן,0,0.1,1827.52,182.752,33.032,149.720,,37.43000,0.001064853,1.98398086695,25.634651358754052,0x1fbded510a3b07c9d5fed12708ce7a75b972e744e85d6cc287952c51795b4a3e,
2023-08-04 18:22:23,2023,מכירת ETH / מימוש,כן,0,1.5,1827.52,2741.280,495.480,2245.800,,561.45000,0.000907097,1.69005777555,24.133744261754052,0x9e567b3620d1d9f98f1c276bb77ee1d1b6d8d53eabc71a36b24b0cbc6d1440a8,
2023-09-08 14:01:59,2023,קבלת ETH,לא,0.5,,1636.13,,,,,,,,24.633744261754052,0x2005fee9291ed789814aa4f44a56d5fcff5115a710f81e3dac70fffdce9e23a9,העברה פנימית בבלוקצ׳יין.
2023-11-09 13:11:59,2023,מכירת ETH / מימוש,כן,0,0.01994877,2121.13,42.3139345101,6.5894777064,35.7244568037,,8.931114200925,0.002043405,3.80717002575,24.611752086754052,0x7d349dcb8664b84f42ead8217fb63fb5c7b0e3bcb26fb3c287bc89cc5240ad20,
2023-11-09 13:37:47,2023,מכירת ETH / מימוש,כן,0,0.01142186,2121.13,24.2272499018,3.7728687952,20.4543811066,,5.113595276650,0.002315859,4.31479269585,24.598014367754052,0x2b43498255de7042462c12c4757ae207ff2505a546b8afcec662a374c8947410,
2023-11-11 11:17:47,2023,מכירת ETH / מימוש,כן,0,0.25941533,2053.53,532.7171626149,85.6900718056,447.0270908093,,111.756772702325,0.00090818,1.692075567,24.337690857754052,0x3ace50736d8a27e3f2bc50bb0d3ba6e104c48f8bd82c2a8b230cf7b7e83ace78,
2023-11-11 11:25:35,2023,מכירת ETH / מימוש,כן,0,0.18196936,2053.53,373.6795398408,60.1081189952,313.5714208456,,78.392855211400,0.001044407,1.94588690205,24.154677090754052,0x2377934a9e447ce719a34940ee4d35450dedb5390b83e647302fbc0d1d118439,
2023-11-16 18:54:11,2023,קבלת ETH,לא,0.01994877,0,1961.54,,,,,,0,0,24.174625860754052,0xbd27bd1a59da70f7cb7b01798776a76e7979590106ec75a71118452d9bf8c54e,
2023-11-17 08:05:47,2023,מכירת ETH / מימוש,כן,0,0.2703942,1961.61,530.407966662,89.316612144,441.091354518,,110.27283862950,0.001089816,2.0304906804,23.903141844754052,0x2bbb8d36ceb468202faa95dccd3a6c64b3b12943702f5942f576e86d4d3f5120,
2023-11-20 19:08:59,2023,קבלת ETH,לא,1.0807387,,2022.62,,,,,,,,24.983880544754052,0x49bcd993076ab3b64bfcbcc2a5f2322a6708a23728ca7a91d230fc996d3652a6,העברה פנימית בבלוקצ׳יין.
2024-02-18 17:58:23,2024,מכירת ETH / מימוש,כן,0,0.04169769,2881.40,120.1477239660,13.7735809608,106.3741430052,,26.593535751300,0.000609,1.13465835,24.941573854754052,0x5e8b3204c0198c3c0b5d26cb9f3fe8d54bd864878453aa4ad02de770964fb2fc,
2024-03-04 15:12:11,2024,מכירת ETH / מימוש,כן,0,0.32038396,3631.85,1163.5864851260,105.8292296672,1057.7572554588,,264.439313864700,0.001911,3.56047965,24.619278894754052,0x29a0455df8ad47abbaf4d86df60f16348a74df61c9d4734ff48ed2876b5813d5,
2024-05-04 14:23:23,2024,מכירת ETH / מימוש,כן,0,0.09865611,3117.52,307.5623960472,32.5880862552,274.9743097920,,68.743577448000,0.000126,0.2347569,24.520496784754052,0xa1b2466affa5ffd0025817fb18ae2ed608912f3af2d903586aca1c50b4cc6d78,
2024-05-20 07:36:11,2024,מכירת ETH / מימוש,כן,0,0.33469739,3661.58,1225.5212692762,110.5572418648,1114.9640274114,,278.741006852850,0.000063,0.11737845,24.185736394754052,0x19a134d5cf6e0f7322e2da3d9b7ee03b25b1c31a1697f145b5d5f7e8e071bd8e,
2024-05-20 07:39:47,2024,קבלת ETH,לא,0.000000001,0,3661.58,,,,,,0,0,24.185736395754052,0xebf15109ed40afb243dc82153f788d6f580423e086428081d684e9758d7cbc4f,
2024-06-26 07:45:35,2024,מכירת ETH / מימוש,כן,0,0.15157324,3369.46,510.7199692504,50.0676726368,460.6522966136,,115.163074153400,0.000042,0.0782523,24.034121155754052,0xacf1118bd3ad89f178392de4c5afefedf98ea32465e43622f8e5dce3d4408264,
2024-06-26 08:18:59,2024,קבלת ETH,לא,0.000015157,0,3369.46,,,,,,0,0,24.034136312754052,0xe545adff05dd6a170a217ff9757052621009580191a1442f495a8692bafbc1b0,
2024-06-26 09:24:23,2024,פעולת מערכת,לא,0,0,3369.46,,,,,,0,0,24.034136312754052,0xe9e2c48d0b29cc7a9025e42884f4125de7e92f39df8b7d89a73cf81b53dc3e96,
2024-06-26 10:06:59,2024,קבלת ETH,לא,0.000015157,0,3369.46,,,,,,0,0,24.034151469754052,0x212431f82e7bb2b96bc335174aa3ed4c786389a7089939338171d1a8a41ec226,
2024-06-26 10:07:47,2024,פעולת מערכת,לא,0,0,3369.46,,,,,,0,0,24.034151469754052,0xf4e323ceda1244d522bed2e4bc86ecbbccfd30d7e9d7d95eb54fa2df2d03aaa5,
2024-06-26 10:53:23,2024,קבלת ETH,לא,0.000015157,0,3369.46,,,,,,0,0,24.034166626754052,0xac0726dc54a29907cf908b454af95d6523994928159e397f186e379a597f6902,
2024-06-26 10:53:59,2024,פעולת מערכת,לא,0,0,3369.46,,,,,,0,0,24.034166626754052,0x36788021ce296a49ee6bcd0c0be884615c407d97129918b6d425084e957a8beb,
2024-06-26 11:45:35,2024,קבלת ETH,לא,0.000015157,0,3369.46,,,,,,0,0,24.034181783754052,0x57dac91ad243d624cd8bf3248a92a5e6ae084cd377ed91bc2a82298c44321fee,
2024-06-26 11:46:23,2024,פעולת מערכת,לא,0,0,3369.46,,,,,,0,0,24.034181783754052,0x4336710a810e695385d1c8a9500ec934db1ebc76badb1d75f56faf0dfb37fa42,
2024-06-26 12:39:59,2024,קבלת ETH,לא,0.000015157,0,3369.46,,,,,,0,0,24.034196940754052,0xc85bba2b9ca7cb1867615c8264ed13cd7df72cae9358e5f85c5c77bad23860b3,
2024-06-26 12:40:35,2024,פעולת מערכת,לא,0,0,3369.46,,,,,,0,0,24.034196940754052,0xfe61afa17db943207995ef7a5d2e115be0b522633ce9ffa486fa71de41924db8,
2024-06-26 13:39:47,2024,קבלת ETH,לא,0.000015157,0,3369.46,,,,,,0,0,24.034212097754052,0xc21fdc2c4faf3280deeb87bb78c4084090cb1f367e18438fcc7052f61844259b,
2024-07-29 05:50:11,2024,מכירת ETH / מימוש,כן,0,0.30157536,3317.94,1000.6089499584,99.6163729152,900.9925770432,,225.248144260800,0.000042,0.0782523,23.732594737754052,0x2e3614a5978594ca9e21cc5dfa1edd755b59762fa13c4dd1f804cee937beebda,
2024-07-29 05:57:35,2024,קבלת ETH,לא,0.000030157,0,3317.94,,,,,,0,0,23.732624894754052,0x3c05abce94f706583c05df3e6e1dc38f01e6a643c34f290642ab4ed0ede8bac1,
2024-07-29 06:10:35,2024,מכירת ETH / מימוש,כן,0,0.29736796,3317.94,986.6490492024,98.2265845472,888.4224646552,,222.105616163800,0.000042,0.0782523,23.435214934754052,0x619a0b49f56b85cbc7c9230531e893b63daf8f600dfae3761b1065c0bb6cd2d3,
2024-07-29 06:13:59,2024,קבלת ETH,לא,0.000029736,0,3317.94,,,,,,0,0,23.435244670754052,0x913ca68d52dd21c025434bc202fa6b0bf091f51bdbd8d2df5a7ca5fb5f528910,
2024-07-29 06:41:47,2024,העברה לסטייקינג,לא,0,20,3317.94,,,,,,0.000623056188419814,1.16084713745438,3.434621614565632186,0xbd9d4555bee234284fd07a78cd67d6ab9ebb4934a6c8f85b001afbf403f50a28,סווג כ־Stake בייצוא הבלוקצ׳יין; נדרש אישור רואה החשבון.
2024-09-05 12:52:59,2024,מכירת ETH / מימוש,כן,0,0.11164444,2367.89,264.3617530316,36.8783914208,227.4833616108,,56.870840402700,0.00006325442025,0.117852473088788,3.322913920145382186,0x2b66e4ba6a3d6e34d2403e70690d3f0f9855b5b601effa4189a29d5287c16310,
2024-10-11 07:49:23,2024,מכירת ETH / מימוש,כן,0,0.44273365,2439.03,1079.8406543595,146.2437792680,933.5968750915,,233.399218772875,0.000284759685231,0.530550007538138,2.879895510460151186,0x6063dd47d6ef836fdd822ac5e827485619c4a53513f05b5ed33ab40d6244b357,
2024-11-21 05:26:23,2024,מכירת ETH / מימוש,כן,0,0.08534058,3359.82,286.7289874956,28.1897003856,258.5392871100,,64.634821777500,0.000246950110155,0.460105097735288,2.794307980349996186,0xc93cdf33aadd862865a44e5e762ec3098cebb4fb0b2ff670e6b4d1938376d082,
2024-12-12 09:21:11,2024,מכירת ETH / מימוש,כן,0,0.27157008,3882.65,1054.4115711120,89.7050288256,964.7065422864,,241.176635571600,0.000315123518199,0.587122382932467,2.522422776831797186,0xdaa8e9cb813c85321ef5c3723c07a11acafec9e5131c4a7b2035606b5e77ea73,
2025-01-29 13:12:35,2025,מכירת ETH / מימוש,כן,0,0.34338024,3114.10,1069.3204053840,113.4253608768,955.8950445072,,238.973761126800,0.000064119191178,0.119463671043291,2.178978417640619186,0x372db83d67d05420abe8e7677244d369b6b8c68873c13ab6215ef27a7572862e,
2025-05-27 08:13:59,2025,מכירת ETH / מימוש,כן,0,0.41326467,2662.00,1100.1105515400,136.5095857944,963.6009657456,,240.900241436400,0.000073159638342,0.136307380176897,1.765640588002277186,0xdaafb203b5f97fa2841d30c392212f56b9df73c8d3cb99de0c484e141d1a4eb1,
2025-07-26 09:32:11,2025,פעולת מערכת,לא,0,0,3742.79,,,,,,0.00011231443899744,0.20925864701808,1.765528273563279746,0xca4afbef4f218f82e04e3a1b5835ffff8289bbc14bc3779a3b8cdd52995f6eb6,
2025-07-26 09:33:47,2025,קבלת ETH,לא,0.01941936,0,3742.79,,,,,,0,0,1.784947633563279746,0x94ff8355587b19a40729a35e3854c85d4d2cdbf73edb2c2dff849e4da7bcd10b,
2025-07-26 09:52:11,2025,פעולת מערכת,לא,0,0,3742.79,,,,,,0.000012106251338987,0.0225557621822336,1.784935527311940759,0x0f3e7cd9bf4ff2bc63f57ec16d3285e43174f8e7d7d111133e05a0938a25b4b7,פעולת Approve; לא סווגה כאירוע חייב.
2025-08-26 05:56:47,2025,מכירת ETH / מימוש,כן,0,0.1225156,4601.95,563.810665420,40.469352992,523.341312428,,130.83532810700,0.00002544522057,0.0474082627049955,1.662394482091370759,0x87c2d35a6549d00914510f02208937ce8bbec7680a45c3554489991435c031f6,
2025-11-12 08:42:47,2025,מכירת ETH / מימוש,כן,0,0.15636768,3414.45,533.9096249760,51.6513720576,482.2582529184,,120.564563229600,0.000045911212326,0.0855394752451869,1.505980890879044759,0x76eae7aa0ca15512585b2cd6bc63491461d957ce6f03030b40b93026d57cffca,
2025-11-12 09:10:23,2025,מכירת ETH / מימוש,כן,0,0.15644041,3414.45,534.1579579245,51.6753962312,482.4825616933,,120.620640423325,0.000045540169857,0.0848481674690695,1.349494940709187759,0x1bffe0c2c864beba175687f045c5cc153e4c4a73fbea9974b3b7d763d7b880ab,
