source_image,source_row,type,date,time,account,amount,asset,value_usd,rate_usd,fee,fee_currency
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,4,Sell,2017-11-22,15:25,Main Account,1.63868100,ETH,600.05,366.18,0.67000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,5,Sell,2017-11-22,15:24,Main Account,2.47000000,ETH,904.46,366.18,1.00000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,6,Sell,2017-11-22,15:23,Main Account,4.28000000,ETH,1567.25,366.18,1.73000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,7,Sell,2017-11-22,15:22,Main Account,2.05000000,ETH,750.67,366.18,0.83000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,8,Sell,2017-11-22,15:22,Main Account,2.06131900,ETH,754.81,366.18,0.84000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,9,Buy,2017-11-21,18:46,Main Account,12.50000000,ETH,4552.88,364.23,5.01000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,10,Sell,2017-11-21,16:23,Main Account,8.09116800,ETH,2977.55,368.00,3.28000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,11,Sell,2017-11-21,16:23,Main Account,0.20883200,ETH,76.85,368.00,0.09000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,12,Sell,2017-11-21,16:22,Main Account,4.10000000,ETH,1508.80,368.00,1.66000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,13,Buy,2017-11-20,16:10,Main Account,0.10000000,BTC,818.10,8181.00,1.80000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,14,Sell,2017-11-20,14:13,Main Account,0.02000000,BTC,161.00,8050.00,0.33000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,15,Deposit,2017-11-19,23:26,Main Account,0.02000000,BTC,,,,
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,16,Buy,2017-11-19,20:17,Main Account,8.47816467,ETH,2970.75,350.40,2.98000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,17,Buy,2017-11-19,20:17,Main Account,0.55553734,ETH,194.66,350.40,0.20000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,18,Buy,2017-11-19,20:17,Main Account,3.36629799,ETH,1179.55,350.40,1.18000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,19,Withdrawal,2017-11-19,10:18,Main Account,1.51200000,LTC,,,0.00000000,LTC
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,20,Sell,2017-11-19,08:39,Main Account,12.20000000,ETH,4349.30,356.50,4.35000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,21,Withdrawal,2017-11-17,09:26,Main Account,1.00000000,ETH,,,0.00000000,ETH
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,22,Buy,2017-11-17,09:15,Main Account,1.51235036,LTC,99.80,65.990,0.20000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,23,Sell,2017-11-16,12:18,Main Account,0.04532216,BTC,339.92,7500.00,0.68000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,24,Sell,2017-11-16,12:18,Main Account,0.02700000,BTC,202.50,7500.00,0.41000,USD
WhatsApp Image 2026-08-27 at 08.15.51.jpeg,25,Buy,2017-11-16,06:38,Main Account,13.20000000,ETH,4323.00,327.50,4.76000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,1,Sell,2017-11-15,12:30,Main Account,0.14117812,LTC,9.11,64.550,0.02000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,2,Buy,2017-11-15,10:16,Main Account,0.13467941,LTC,8.53,63.340,0.02000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,3,Sell,2017-11-14,14:28,Main Account,13.20000000,ETH,4329.60,328.00,4.33000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,4,Buy,2017-11-14,10:57,Main Account,13.20000000,ETH,4326.96,327.80,4.33000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,5,Sell,2017-11-14,10:54,Main Account,9.98795600,ETH,3326.19,333.02,3.33000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,6,Sell,2017-11-14,10:54,Main Account,3.01204400,ETH,1003.10,333.03,1.01000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,7,Buy,2017-11-14,00:12,Main Account,1.88446705,ETH,590.78,313.50,0.60000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,8,Buy,2017-11-14,00:12,Main Account,7.21915433,ETH,2263.20,313.50,2.27000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,9,Buy,2017-11-14,00:12,Main Account,2.56840475,ETH,805.19,313.50,0.81000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,10,Buy,2017-11-14,00:12,Main Account,1.32797387,ETH,416.32,313.50,0.42000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,11,Sell,2017-11-13,21:26,Main Account,5.37670702,ETH,1696.35,315.50,1.70000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,12,Sell,2017-11-13,21:26,Main Account,0.82188200,ETH,259.30,315.50,0.26000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,13,Sell,2017-11-13,21:26,Main Account,0.42892900,ETH,135.33,315.50,0.14000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,14,Sell,2017-11-13,21:26,Main Account,0.42894000,ETH,135.33,315.50,0.14000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,15,Sell,2017-11-13,21:26,Main Account,2.55779000,ETH,806.98,315.50,0.81000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,16,Sell,2017-11-13,21:26,Main Account,3.30575198,ETH,1042.96,315.50,1.05000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,17,Sell,2017-11-13,14:06,Main Account,1.00000000,ETH,317.00,317.00,0.32000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,18,Buy,2017-11-13,07:15,Main Account,1.00000000,ETH,311.80,311.80,0.32000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,19,Buy,2017-11-12,21:31,Main Account,4.32712478,ETH,1352.23,312.50,1.36000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,20,Buy,2017-11-12,21:25,Main Account,6.87287522,ETH,2147.77,312.50,2.15000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,21,Sell,2017-11-12,20:56,Main Account,2.22428536,ETH,707.77,318.20,0.71000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,22,Sell,2017-11-12,20:56,Main Account,4.13785878,ETH,1316.67,318.20,1.32000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,23,Sell,2017-11-12,20:56,Main Account,0.38224883,ETH,121.63,318.20,0.13000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,24,Sell,2017-11-12,20:56,Main Account,0.74212495,ETH,236.14,318.20,0.24000,USD
WhatsApp Image 2026-08-27 at 08.16.29.jpeg,25,Sell,2017-11-12,19:59,Main Account,3.51348208,ETH,1117.99,318.20,1.12000,USD
